id	project	name	bps	sequences	biome	feature	material	sequencing_type	sequencing_method	avg_seq_length
4440055.3	Aquacultured Fish (Kent State)	FishHealGutKentSTMic20060504	5076977	51498	Small lake biome	animal-associated habitat	bodily fluid	WGS	454	98.586
4440056.3	Aquacultured Fish (Kent State)	FishMorGutKentSTMic20060504	5956666	60311	Small lake biome	animal-associated habitat	bodily fluid	WGS	454	98.766
4440059.3	Aquacultured Fish (Kent State)	FishHealSlimKentSTMic20060504	6566476	66066	Small lake biome	animal-associated habitat	bodily fluid	WGS	454	99.393
4440066.3	Aquacultured Fish (Kent State)	FishMorSlimKentSTMic20060504	8240160	82442	Small lake biome	animal-associated habitat	bodily fluid	WGS	454	99.951
4440062.3	Aquacultured Fish (Kent State)	FishHealGutKentSTVir20060504	5323566	47139	Small lake biome	animal-associated habitat	bodily fluid	WGS	454	112.933
4440063.3	Aquacultured Fish (Kent State)	FishMorGutKentSTVir20060504	6199663	53750	Small lake biome	animal-associated habitat	bodily fluid	WGS	454	115.343
4440065.3	Aquacultured Fish (Kent State)	FishHealSlimKentSTVir20060504	6052526	61476	Small lake biome	animal-associated habitat	bodily fluid	WGS	454	98.453
4440064.3	Aquacultured Fish (Kent State)	FishMorSlimKentSTVir20060504	5909984	60111	Small lake biome	animal-associated habitat	bodily fluid	WGS	454	98.318
4440061.3	Microbialites	HBCStromBahamasMic20050111	26691593	257573	marine habitat	marine habitat	marine habitat	WGS	454	103.627
4440067.3	Microbialites	PAStromBahamasMic20050722	33849523	326146	marine habitat	marine habitat	marine habitat	WGS	454	103.786
4440090.3	Chula Vista, CA Solar Saltern Study	LowSalternPlaSDbay20051122	11122989	111431	marine biome	saline evaporation pond	saline water	WGS	454	99.820
4440102.3	Tampa Bay Viral Metagenome	TBPhageInduction20051213	29107293	280019	marine habitat	marine habitat	marine habitat	WGS	454	103.948
4440304.3	Marine Phages	GOMVir1994to2001	26809683	263908	marine habitat	marine habitat	marine habitat	WGS	454	101.587
4440305.3	Marine Phages	BBCVir1996to2004	42535763	416456	marine habitat	marine habitat	marine habitat	WGS	454	102.137
4440306.3	Marine Phages	ArcticVir2002	68276453	688590	marine habitat	marine habitat	marine habitat	WGS	454	99.154
4440163.5	cDNA - Plymouth Marine Lab Coastal Waters project	Bag1_13thMay_cDNA	31681620	136115	marine habitat	marine habitat	marine habitat	WGS	454	232.756
4440166.5	cDNA - Plymouth Marine Lab Coastal Waters project	Bag6_19thMay_cDNA	26982195	116192	marine habitat	marine habitat	marine habitat	WGS	454	232.221
4440165.5	cDNA - Plymouth Marine Lab Coastal Waters project	Bag6_13thMay_cDNA	38021523	162871	marine habitat	marine habitat	marine habitat	WGS	454	233.446
4440319.3	Stressed Coral Holobionts	BocasPAMic20050921	32282404	316279	animal-associated habitat	animal-associated habitat	animal-associated habitat	WGS	454	102.069
4440320.3	Microbialites	PAStromCCMexVir20050722	31704691	302987	marine habitat	marine habitat	marine habitat	WGS	454	104.640
4440321.3	Microbialites	RMStromCCMexVir20050722	34251849	328656	marine habitat	marine habitat	marine habitat	WGS	454	104.218
4440322.3	Marine Phages	SARVir20050630	41653979	399343	marine habitat	marine habitat	marine habitat	WGS	454	104.306
4440323.3	Microbialites	HBCStromBahamasVir20050111	15099772	150223	marine habitat	marine habitat	marine habitat	WGS	454	100.516
4440324.3	Chula Vista, CA Solar Saltern Study	LowSalternSDbayMic20051110	4632200	49074	marine biome	saline evaporation pond	saline water	WGS	454	94.392
4440325.3	Chula Vista, CA Solar Saltern Study	MedSalternSDbayVir20051111	3512587	35053	marine biome	saline evaporation pond	saline water	WGS	454	100.208
4440327.3	Salton Sea 	SaltonSea1Vir20060823	5779801	55787	extreme habitat ; hypersaline	extreme habitat ; hypersaline	extreme habitat ; hypersaline	WGS	other	103.605
4440328.3	Salton Sea 	SaltonSea2Vir20060823	2973124	29970	extreme habitat ; hypersaline	extreme habitat ; hypersaline	extreme habitat ; hypersaline	WGS	other	99.203
4440329.3	Salton Sea 	SaltonSeaMic20060823	18876339	178407	extreme habitat ; hypersaline	extreme habitat ; hypersaline	extreme habitat ; hypersaline	WGS	other	105.805
4440330.3	Skan Bay, Alaska Ocean Viruses	SkanBayAlaskaVir20060927	3280591	31375	sediment	sediment	sediment	WGS	other	104.561
4440358.3	Sapelo Island Bacterioplankton Vanillate/DSMP Study	DMSP21SeawaterMic200511	3882661	41461	marine habitat	marine habitat	marine habitat	WGS	454	93.646
4440359.3	Sapelo Island Bacterioplankton Vanillate/DSMP Study	VAN11SeawaterMic200511	2710130	29104	marine habitat	marine habitat	marine habitat	WGS	454	93.119
4440360.3	Sapelo Island Bacterioplankton Vanillate/DSMP Study	DMSP2SeawaterMic200511	4813851	50313	marine habitat	marine habitat	marine habitat	WGS	454	95.678
4440362.3	Sapelo Island Bacterioplankton Vanillate/DSMP Study	DMSP11SeawaterMic200511	4202321	44246	marine habitat	marine habitat	marine habitat	WGS	454	94.976
4440361.3	Sapelo Island Bacterioplankton Vanillate/DSMP Study	VAN21SeawaterMic200511	3867992	40480	marine habitat	marine habitat	marine habitat	WGS	454	95.553
4440363.3	Sapelo Island Bacterioplankton Vanillate/DSMP Study	VAN2SeawaterMic200511	3269294	33773	marine habitat	marine habitat	marine habitat	WGS	454	96.802
4440364.3	Sapelo Island Bacterioplankton Vanillate/DSMP Study	DMSP1SeawaterMic200511	5279589	54848	marine habitat	marine habitat	marine habitat	WGS	454	96.259
4440365.3	Sapelo Island Bacterioplankton Vanillate/DSMP Study	VAN1SeawaterMic200511	1190841	12446	marine habitat	marine habitat	marine habitat	WGS	454	95.681
4440372.3	Stressed Coral Holobionts	DOCPorCompHawMic200602	7282501	62959	animal-associated habitat	animal-associated habitat	animal-associated habitat	WGS	454	115.671
4440371.3	Stressed Coral Holobionts	pHPorCompHawVir200602	5274525	50364	animal-associated habitat	animal-associated habitat	animal-associated habitat	WGS	454	104.728
4440374.3	Stressed Coral Holobionts	ConPorCompHawVir200602	4079432	39340	animal-associated habitat	animal-associated habitat	animal-associated habitat	WGS	454	103.697
4440370.3	Stressed Coral Holobionts	DOCPorCompVirHaw200602	3645606	35680	animal-associated habitat	animal-associated habitat	animal-associated habitat	WGS	454	102.175
4440373.3	Stressed Coral Holobionts	TempPorCompHawMic200602	6770580	61356	animal-associated habitat	animal-associated habitat	animal-associated habitat	WGS	454	110.349
4440379.3	Stressed Coral Holobionts	pHPorCompHawMic200602	7709872	67994	animal-associated habitat	animal-associated habitat	animal-associated habitat	WGS	454	113.390
4440375.3	Stressed Coral Holobionts	TempPorCompHawVir200602	4425894	39036	animal-associated habitat	animal-associated habitat	animal-associated habitat	WGS	454	113.380
4440378.3	Stressed Coral Holobionts	ConPorCompHawMic200602	7762920	65191	animal-associated habitat	animal-associated habitat	animal-associated habitat	WGS	454	119.080
4440380.3	Stressed Coral Holobionts	T0PortComHawMic20060223	6158805	53473	animal-associated habitat	animal-associated habitat	animal-associated habitat	WGS	454	115.176
4440376.3	Stressed Coral Holobionts	T0PortComHawVir20060223	3978972	39270	animal-associated habitat	animal-associated habitat	animal-associated habitat	WGS	454	101.323
4440377.3	Stressed Coral Holobionts	NutPorCompHawVir200602	3690641	34433	animal-associated habitat	animal-associated habitat	animal-associated habitat	WGS	454	107.183
4440381.3	Stressed Coral Holobionts	NutPorCompHawMic200602	7497959	65008	animal-associated habitat	animal-associated habitat	animal-associated habitat	WGS	454	115.339
4440413.3	Freshwater Fish from Aquaculture Facility Metagenomes - Viral an	TilPondKentSTMic20060504	6484135	63978	freshwater	freshwater	freshwater	WGS	454	101.349
4440411.3	Freshwater Fish from Aquaculture Facility Metagenomes - Viral an	PrePondKentSTMic20060504	4428989	44094	freshwater	freshwater	freshwater	WGS	454	100.444
4440412.3	Freshwater Fish from Aquaculture Facility Metagenomes - Viral an	TilPondKentSTVir20060504	6096272	60319	freshwater	freshwater	freshwater	WGS	454	101.067
4440414.3	Freshwater Fish from Aquaculture Facility Metagenomes - Viral an	PrePondKentSTVir20060504	7017317	67988	freshwater	freshwater	freshwater	WGS	454	103.214
4440417.3	Chula Vista, CA Solar Saltern Study	MedSalternSDbayVir20051122	5634444	55903	marine biome	saline evaporation pond	saline water	WGS	454	100.790
4440164.6	cDNA - Plymouth Marine Lab Coastal Waters project	Bag1_19thMay_cDNA	21805955	96201	marine habitat	marine habitat	marine habitat	WGS	454	226.671
4440212.3	cDNA - Plymouth Marine Lab Coastal Waters project	Bag1_13thMay_DNA	47289202	209073	marine habitat	marine habitat	marine habitat	WGS	454	226.185
4440213.3	cDNA - Plymouth Marine Lab Coastal Waters project	Bag6_May13th_DNA	30991689	134915	marine habitat	marine habitat	marine habitat	WGS	454	229.713
4440145.4	Chula Vista, CA Solar Saltern Study	HighSalternSDbayVir20051207	4860804	47587	marine biome	saline evaporation pond	saline water	WGS	454	102.146
4440416.3	Chula Vista, CA Solar Saltern Study	MedSalterSDbayMic20051128	705995	8062	marine biome	saline evaporation pond	saline water	WGS	454	87.571
4440144.4	Chula Vista, CA Solar Saltern Study	HighSalternSDbayVir20051128	465209	4645	marine biome	saline evaporation pond	saline water	WGS	454	100.153
4440419.3	Chula Vista, CA Solar Saltern Study	HighSalternSDbayMic20051128	3711295	35446	marine biome	saline evaporation pond	saline water	WGS	454	104.703
4440420.3	Chula Vista, CA Solar Saltern Study	LowSalternSDbayVir20051128	6511083	62685	marine biome	saline evaporation pond	saline water	WGS	454	103.870
4440423.3	Freshwater Fish from Aquaculture Facility Metagenomes - Viral an	Tilapia pond microbes Duplicate	38804235	381076	freshwater	freshwater	freshwater	WGS	unknown	101.828
4440421.3	Chula Vista, CA Solar Saltern Study	HighSalternSDbayVir20051116	15379956	154167	marine biome	saline evaporation pond	saline water	WGS	454	99.762
4440425.3	Chula Vista, CA Solar Saltern Study	MedSalternSDbayMic20051116	11867028	120987	marine biome	saline evaporation pond	saline water	WGS	454	98.085
4440424.3	Freshwater Fish from Aquaculture Facility Metagenomes - Viral an	TilPondKentSTVir200608	5773797	57134	freshwater	freshwater	freshwater	WGS	454	101.057
4440422.3	Freshwater Fish from Aquaculture Facility Metagenomes - Viral an	TilPondKentSTMic200608	6932903	67612	freshwater	freshwater	freshwater	WGS	454	102.540
4440426.3	Chula Vista, CA Solar Saltern Study	LowSalternSDbayMic20051128	3453306	34296	marine biome	saline evaporation pond	saline water	WGS	454	100.691
4440427.3	Chula Vista, CA Solar Saltern Study	MedSalternSDbayVir20051128	4011661	39943	marine biome	saline evaporation pond	saline water	WGS	454	100.435
4440428.3	Chula Vista, CA Solar Saltern Study	MedSalternSDbayVir20051116	5762444	58735	marine biome	saline evaporation pond	saline water	WGS	454	98.109
4440430.3	Chula Vista, CA Solar Saltern Study	HighSalternSDbayMicA200407	7982909	78524	marine biome	saline evaporation pond	saline water	WGS	454	101.662
4440429.3	Chula Vista, CA Solar Saltern Study	HighSalternSDbayMicB200407	4028912	39553	marine biome	saline evaporation pond	saline water	WGS	454	101.861
4440433.3	Chula Vista, CA Solar Saltern Study	HighSalternSDbayMicC200407	12641571	123879	marine biome	saline evaporation pond	saline water	WGS	454	102.048
4440432.3	Chula Vista, CA Solar Saltern Study	LowSalternSDbayVir20051110	11532248	110511	marine biome	saline evaporation pond	saline water	WGS	454	104.354
4440431.3	Chula Vista, CA Solar Saltern Study	MedSalternSDbayVir20051110	4013169	39578	marine biome	saline evaporation pond	saline water	WGS	454	101.399
4440435.3	Chula Vista, CA Solar Saltern Study	MedSalternSDbayMic20051110	3905955	38929	marine biome	saline evaporation pond	saline water	WGS	454	100.335
4440434.3	Chula Vista, CA Solar Saltern Study	MedSalternSDbayMic20051111	2323241	23261	marine biome	saline evaporation pond	saline water	WGS	454	99.877
4440436.3	Chula Vista, CA Solar Saltern Study	LowSalternSDbayVir200407	28054297	268534	marine biome	saline evaporation pond	saline water	WGS	454	104.472
4440437.3	Chula Vista, CA Solar Saltern Study	LowSalternSDbayMic200407	25280522	268206	marine biome	saline evaporation pond	saline water	WGS	454	94.258
4440438.3	Chula Vista, CA Solar Saltern Study	HighSalternSDbayMicD200407	34806789	340725	marine biome	saline evaporation pond	saline water	WGS	454	102.155
4440439.3	Freshwater Fish from Aquaculture Facility Metagenomes - Viral an	TpondKentSTVir200511	27366887	267640	freshwater	freshwater	freshwater	WGS	454	102.253
4440440.3	Freshwater Fish from Aquaculture Facility Metagenomes - Viral an	TilPondKentSTMic200511	38804235	381076	freshwater	freshwater	freshwater	WGS	454	101.828
4440441.3	Human Lung Healthy vs Cystic Fibrosis Metagenome	CFLungPat001Rep3SDVir20060505	7443127	92223	animal-associated habitat	animal-associated habitat	animal-associated habitat	WGS	454	80.708
4440442.4	Human Lung Healthy vs Cystic Fibrosis Metagenome	HealSputRep3SDVir20060707	3375494	39807	animal-associated habitat	animal-associated habitat	animal-associated habitat	WGS	454	84.796
4440442.5	Human Lung Healthy vs Cystic Fibrosis Metagenome	HealSputRep2SDVir20060707	80663537	770825	animal-associated habitat	animal-associated habitat	animal-associated habitat	WGS	454	104.646
4440463.3	Human Faeces - Turnbaugh	LeanMouseCecumMic2005	8478662	10845	animal-associated habitat	animal-associated habitat	animal-associated habitat	WGS	454	781.804
4440464.3	Human Faeces - Turnbaugh	ObeseMouseCecumMic2005	9067143	11857	animal-associated habitat	animal-associated habitat	animal-associated habitat	WGS	454	764.708
4440452.7	Twin Gut Microflora Study	TS1	54632274	229857	animal-associated habitat	animal-associated habitat	animal-associated habitat	WGS	454	237.679
4440453.6	Twin Gut Microflora Study	TS2	87628331	502124	animal-associated habitat	animal-associated habitat	animal-associated habitat	WGS	454	174.515
4440460.5	Twin Gut Microflora Study	TS4	102844045	455361	animal-associated habitat	animal-associated habitat	animal-associated habitat	WGS	454	225.852
4440461.5	Twin Gut Microflora Study	TS5	105923024	522134	human-associated habitat	human-associated habitat	human-associated habitat	WGS	454	202.866
4440610.3	Twin Gut Microflora Study	TS19	88860492	552665	animal-associated habitat	animal-associated habitat	animal-associated habitat	WGS	454	160.785
4440611.3	Twin Gut Microflora Study	TS20	103097122	526727	animal-associated habitat	animal-associated habitat	animal-associated habitat	WGS	454	195.732
4440613.3	Twin Gut Microflora Study	TS28	102979597	312665	animal-associated habitat	animal-associated habitat	animal-associated habitat	WGS	454	329.361
4440616.3	Twin Gut Microflora Study	TS29	174824393	507928	animal-associated habitat	animal-associated habitat	animal-associated habitat	WGS	454	344.191
4440614.3	Twin Gut Microflora Study	TS49	98535846	568898	animal-associated habitat	animal-associated habitat	animal-associated habitat	WGS	454	173.205
4440615.3	Twin Gut Microflora Study	TS50	124867948	622554	animal-associated habitat	animal-associated habitat	animal-associated habitat	WGS	454	200.574
4440060.4	Microbialites	Rio Mesquites Bacteria	13334570	124694	marine habitat	marine habitat	marine habitat	WGS	454	106.938
4440595.4	Twin Gut Microflora Study	TS3	111427956	562205	animal-associated habitat	animal-associated habitat	animal-associated habitat	WGS	454	198.198
4440639.3	Twin Gut Microflora Study	TS21	93430618	440521	animal-associated habitat	animal-associated habitat	animal-associated habitat	WGS	454	212.091
4440640.3	Twin Gut Microflora Study	TS51	99497413	547519	animal-associated habitat	animal-associated habitat	animal-associated habitat	WGS	454	181.724
4440462.5	Twin Gut Microflora Study	TS6	133707491	612660	animal-associated habitat	animal-associated habitat	animal-associated habitat	WGS	454	218.241
4440823.3	Twin Gut Microflora Study	TS7	134889015	555853	animal-associated habitat	animal-associated habitat	animal-associated habitat	WGS	454	242.670
4440824.3	Twin Gut Microflora Study	TS8	100520072	414497	animal-associated habitat	animal-associated habitat	animal-associated habitat	WGS	454	242.511
4440826.3	Twin Gut Microflora Study	TS9	124768172	499499	animal-associated habitat	animal-associated habitat	animal-associated habitat	WGS	454	249.787
4440825.3	Twin Gut Microflora Study	TS30	94405318	495865	animal-associated habitat	animal-associated habitat	animal-associated habitat	WGS	454	190.385
4440939.3	Human Faeces - Kurokawa	human F1-S	38010851	28900	animal-associated habitat	animal-associated habitat	animal-associated habitat	WGS	other	1315.254
4440941.3	Human Faeces - Kurokawa	human F1-T	43259070	36326	animal-associated habitat	animal-associated habitat	animal-associated habitat	WGS	other	1190.857
4440940.3	Human Faeces - Kurokawa	human F1-U	24369492	16539	animal-associated habitat	animal-associated habitat	animal-associated habitat	WGS	other	1473.456
4440942.3	Human Faeces - Kurokawa	human F2-V	45906118	36455	animal-associated habitat	animal-associated habitat	animal-associated habitat	WGS	other	1259.254
4440943.3	Human Faeces - Kurokawa	human F2-W	40076128	30198	animal-associated habitat	animal-associated habitat	animal-associated habitat	WGS	other	1327.112
4440944.3	Human Faeces - Kurokawa	human F2-X	39071077	31237	animal-associated habitat	animal-associated habitat	animal-associated habitat	WGS	other	1250.795
4440947.3	Human Faeces - Kurokawa	human F2-Y	45480292	35177	animal-associated habitat	animal-associated habitat	animal-associated habitat	WGS	other	1292.899
4440946.3	Human Faeces - Kurokawa	human In-A	29296224	20226	animal-associated habitat	animal-associated habitat	animal-associated habitat	WGS	other	1448.444
4440945.3	Human Faeces - Kurokawa	human In-B	14499070	9958	animal-associated habitat	animal-associated habitat	animal-associated habitat	WGS	other	1456.022
4440948.3	Human Faeces - Kurokawa	human In-D	46397089	37296	animal-associated habitat	animal-associated habitat	animal-associated habitat	WGS	other	1244.023
4440950.3	Human Faeces - Kurokawa	human In-E	27208886	20532	animal-associated habitat	animal-associated habitat	animal-associated habitat	WGS	other	1325.194
4440949.3	Human Faeces - Kurokawa	human In-M	25941797	16164	animal-associated habitat	animal-associated habitat	animal-associated habitat	WGS	other	1604.912
4440951.3	Human Faeces - Kurokawa	human In-R	43473860	34797	animal-associated habitat	animal-associated habitat	animal-associated habitat	WGS	other	1249.357
4440960.3	Peru Margin Subseafloor Biosphere	1229 1 mbsf ORIGINAL	11178919	107977	sediment	sediment	sediment	WGS	unknown	103.531
4440961.3	Peru Margin Subseafloor Biosphere	1229 1mbsf AMPLIFIED	12970945	125842	sediment	sediment	sediment	WGS	454	103.073
4440964.3	Guerrero Negro Metagenomes	Guerrero Negro 0-1mm	8596350	12218	microbial mat	microbial mat	microbial mat	WGS	other	703.581
4440963.3	Guerrero Negro Metagenomes	Guerrero Negro 1-2mm	7469572	11574	microbial mat	microbial mat	microbial mat	WGS	other	645.375
4440965.3	Guerrero Negro Metagenomes	Guerrero Negro 2-3mm	8286576	12419	microbial mat	microbial mat	microbial mat	WGS	other	667.250
4440966.3	Guerrero Negro Metagenomes	Guerrero Negro 3-4mm	8215056	12824	microbial mat	microbial mat	microbial mat	WGS	other	640.600
4440967.3	Guerrero Negro Metagenomes	Guerrero Negro 4-5mm	9803980	15663	microbial mat	microbial mat	microbial mat	WGS	other	625.932
4440969.3	Guerrero Negro Metagenomes	Guerrero Negro 5-6mm	8377132	12531	microbial mat	microbial mat	microbial mat	WGS	other	668.513
4440970.3	Guerrero Negro Metagenomes	Guerrero Negro 6-10mm	9864533	15060	microbial mat	microbial mat	microbial mat	WGS	other	655.015
4440968.3	Guerrero Negro Metagenomes	Guerrero Negro 10-22mm	8017278	12693	microbial mat	microbial mat	microbial mat	WGS	other	631.630
4440971.3	Guerrero Negro Metagenomes	Guerrero Negro 22-34mm	8382678	12528	microbial mat	microbial mat	microbial mat	WGS	other	669.115
4440972.3	Guerrero Negro Metagenomes	Guerrero Negro 34-49mm	7240715	11637	microbial mat	microbial mat	microbial mat	WGS	other	622.215
4440973.3	Peru Margin Subseafloor Biosphere	1229_16mbsf_AMPLIFIED	13834930	135726	sediment	sediment	sediment	WGS	unknown	101.933
4440984.3	Jeffries et al PLoS One	Australian Coorong lowest salinity murray mouth 36psu M1	17914131	77061	estuarine biome	marine benthic feature	sandy sediment	WGS	454	232.467
4441020.3	Jeffries et al PLoS One	Australian Coorong medium salinity 105psu M2	27296551	115960	estuarine biome	marine benthic feature	sandy sediment	WGS	454	235.396
4441021.3	Jeffries et al PLoS One	Australian Coorong medium high salinity 132psu M3	29952599	128907	estuarine biome	marine benthic feature	sandy sediment	WGS	454	232.358
4441022.3	Jeffries et al PLoS One	Australian Coorong high salinity 136psu M4	28906111	124220	estuarine biome	marine benthic feature	sandy sediment	WGS	454	232.701
4441025.3	Mediterranean Bathypelagic Habitat	Mediterranean Bathypelagic Habitat	7203198	9048	marine habitat	marine habitat	marine habitat	WGS	other	796.109
4441026.3	unknown	Chesapeake Bay Virioplankton	3920016	5641	unknown	unknown	unknown	WGS	unknown	694.915
4441050.3	Marine NaCl-Saturated Brine Metagenome	Marine NaCl-Saturated Brine	2380900	2947	extreme habitat ; hypersaline	extreme habitat ; hypersaline	extreme habitat ; hypersaline	WGS	454	807.906
4441051.3	Microbial Community Genomics at the HOT/ALOHA	HOT/ALOHA - Upper Euphotic 10m	7482653	7838	marine habitat	marine habitat	marine habitat	WGS	454	954.664
4441055.3	Microbial Community Genomics at the HOT/ALOHA	HOT/ALOHA - Base of Chlorophyll Maximum 130m	6091740	6797	marine habitat	marine habitat	marine habitat	WGS	454	896.240
4441041.3	Microbial Community Genomics at the HOT/ALOHA	HOT/ALOHA - Below Base of Euphotic Zone 200m	7829627	8276	marine habitat	marine habitat	marine habitat	WGS	454	946.064
4441056.3	Microbial Community Genomics at the HOT/ALOHA	HOT/ALOHA - Deep Abyss 4000m	11028802	11223	marine habitat	marine habitat	marine habitat	WGS	454	982.696
4441057.3	Microbial Community Genomics at the HOT/ALOHA	HOT/ALOHA - Well Below Upper Mesopelagic 500m	8764614	9017	marine habitat	marine habitat	marine habitat	WGS	454	972.010
4441057.4	Microbial Community Genomics at the HOT/ALOHA	HOT/ALOHA - Upper Euphotic 70m	10828356	10992	marine habitat	marine habitat	marine habitat	WGS	454	985.112
4441062.3	Microbial Community Genomics at the HOT/ALOHA	HOT/ALOHA - Core of Dissolved Oxygen Minimum Layer 770m	11811596	11478	marine habitat	marine habitat	marine habitat	WGS	454	1029.064
4441095.3	Viral Metagenome from Terrestrial Hot Springs	Terrestrial Hot Springs - Bearpaw	8270842	8352	hot spring	hot spring	hot spring	WGS	unknown	990.283
4441096.3	Viral Metagenome from Terrestrial Hot Springs	Terrestrial Hot Springs - Octopus	22557192	22272	hot spring	hot spring	hot spring	WGS	other	1012.805
4441091.3	Waseca County Farm Soil Metagenome	Waseca Farm Soil	154475569	138347	soil	soil	soil	WGS	sanger	1116.581
4441092.3	Phosphorus Removing (EBPR) Sludge Community	Australian Phosphorus Removing (EBPR) Sludge	100273005	96563	sludge	sludge	sludge	WGS	other	1038.421
4441093.3	Phosphorus Removing (EBPR) Sludge Community	US Phosphorus Removing (EBPR) Sludge	120938054	127953	sludge	sludge	sludge	WGS	other	945.176
4441102.3	Alvinella Pompejana Epibiont Metagenome	Alvinella Pompejana Epibiont	290371756	293065	hydrothermal vent	hydrothermal vent	hydrothermal vent	WGS	other	990.810
4441115.3	Mediterranean Gutless Worm Metagenome	Mediterranean Gutless Worm	314746819	313773	animal-associated habitat	animal-associated habitat	animal-associated habitat	WGS	unknown	1003.104
4441137.3	Acid Mine Drainage Metagenome	5-Way (CG) Acid Mine Drainage Biofilm	181571516	180713	mine drainage	mine drainage	mine drainage	WGS	sanger	1004.751
4441138.3	Acid Mine Drainage Metagenome	UBA Acid Mine Drainage Biofilm	144206508	138453	mine drainage ; microbial mat	mine drainage ; microbial mat	mine drainage ; microbial mat	WGS	sanger	1041.556
4441121.3	Global Ocean Sampling Expedition	GS050 Shotgun - Coral Atoll - Polynesia Archipelagos - Tikehau Lagoon - Fr. Polynesia	755429	715	marine habitat	marine habitat	marine habitat	WGS	other	1056.544
4441124.3	Global Ocean Sampling Expedition	GS038 Shotgun - Open Ocean - Tropical South Pacific - Tropical South Pacific - International	787340	741	marine habitat	marine habitat	marine habitat	WGS	other	1062.537
4441125.3	Global Ocean Sampling Expedition	GS040 Shotgun - Open Ocean - Tropical South Pacific - Tropical South Pacific - International	772365	736	marine habitat	marine habitat	marine habitat	WGS	other	1049.409
4441126.3	Global Ocean Sampling Expedition	GS041 Shotgun - Open Ocean - Tropical South Pacific - Tropical South Pacific - International	739958	678	marine habitat	marine habitat	marine habitat	WGS	other	1091.383
4441127.3	Global Ocean Sampling Expedition	GS042 Shotgun - Open Ocean - Tropical South Pacific - Tropical South Pacific - International	788466	699	marine habitat	marine habitat	marine habitat	WGS	other	1127.991
